"Nama","Alamat","Telepon","Kategori_ID","Kategori_EN","Nomor_Keputusan","Tanggal_Keputusan","Nama_Produk","Tempat_Perizinan","Tanggal_Operasional","Keterangan_ID","Keterangan_EN","Lampiran","Status","Tipe","Barcode","Email","Website"
"PT MJC Money Changer","Ruko Beach View Boulevard Blok C No. 32 Pantai Indah Kapuk, Jakarta Utara","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","24/36/KEP.GBI/Jkt/2022","05/09/2022","","KPwBI Provinsi DKI Jakarta","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","1419.45-000/Jkt","",""
"PT Lancar Sentosa Valasindo","Mall Mangga Dua Square Lt. UG Blok C No. 187, Jalan Gunung Sahari Raya No.1 RT011/006, Kel. Ancol. Kec. Pademangan, Jakarta Utara","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","24/9/KEP.GBI/Jkt/2022","04/15/2022","","KPwBI Provinsi DKI Jakarta","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","1417.43.000/Jkt","",""
"Lembaga Pelatihan Kerja Solusi Mega","Gedung Smartdeal, Jl. Cideng Timur 16 A, Jakarta Pusat","021-6305210","Lembaga Pelatihan Kerja","Job Training Institute","24/51/DPSP-GESK/Srt/B","03/28/2022","","Jakarta","","Kategori PBK SPPUR Jenjang Kualifikasi SPPUR 4","Job Training Institute","","Berizin (Telah Operasional)","","","",""
"Lembaga Pelatihan Kerja Danamon Corporate University","Danamon Corporate University. Jl. Raya Puncak No.8, Gadog, Ciawi, Bogor","0251-8241475","Lembaga Pelatihan Kerja","Job Training Institute","24/46/DPSP-GESK/Srt/B","03/22/2022","","Bogor","","No.23/4/DPSP/Srt/B Tgl 8 Januari 2021 untuk Kategori PBK SPPUR Jenjang Kualifikasi SPPUR 4 dan No.24/46/DPSP-GESK/Srt/B Tgl 22 Maret 2022 untuk Kategori PBK SPPUR Jenjang Kualifikasi SPPUR 5.","Job Training Institute","","Berizin (Telah Operasional)","","","",""
"PT Daffa Indo Valuta","Jalan Kwitang Raya No. 8, Kel. Kwitang, Kec. Senen, Jakarta Pusat","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","24/189/Jkt/Srt/B","03/17/2022","","KPwBI Provinsi DKI Jakarta","03/24/2022","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","","",""
"PT Gemar Arta Valutama","AEON Mall Sentul City, Lantai B1, Unit B1-22, Jl. MH Thamrin Sentul City, Babakan Madang - Kabupaten Bogor","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","24/190/Jkt/Srt/B","03/17/2022","","KPwBI Provinsi DKI Jakarta","03/30/2022","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","1414.40-000/Jkt","",""
"PT Top Dolar Remitan","Ruko Tiban Vivo Square H No. 3, Kelurahan Patam Lestari, Kecamatan Sekupang, Kota Batam, Prov. Kepulauan Riau","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","24/5/KEP.GBI/Btm/2002","03/10/2022","","KPwBI Provinsi Kepulauan Riau","","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","","",""
"PT Pakai Donk Nusantara","","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","24/53/DKSP/Srt/B","02/25/2022","Pakaidonk","Departemen Kebijakan Sistem Pembayaran","","Penatausahaan Sumber Dana","Account Issuance Services","","Berizin (Belum Beroperasinal)","","","",""
"PT BPR Surya Yudhakencana","","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","24/52/DKSP/Srt/B","02/25/2022","","Departemen Kebijakan Sistem Pembayaran","","Penatausahaan Sumber Dana","Account Issuance Services","","Berizin (Belum Beroperasinal)","","","",""
"PT Kreigan Digital Wesel","Green Lake City, Ruko Food City RKFC-005, Cipondoh, Kota Tangerang, Banten, 15147","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","24/324/Sr/B/6-001","02/24/2022","","KPwBI Provinsi Banten","","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","","",""
"Lembaga Pelatihan Kerja Bank Central Asia (BCA)","BCA Learning Institute. Jl. Pakuan No.3 Sentul City - Bogor 16810","021-25563000/021-23588300","Lembaga Pelatihan Kerja","Job Training Institute","24/27/DPSP-GESK/Srt/B","02/22/2022","","Bogor","","No.23/3/DPSP/Srt/B Tgl 8 Januari 2021 untuk Kategori PBK SPPUR Jenjang Kualifikasi SPPUR 4 dan No.24/27/DPSP-GESK/Srt/B Tgl 22 Februari 2022 untuk Kategori PBK SPPUR Jenjang Kualifikasi SPPUR 5.","Job Training Institute","","Berizin (Telah Operasional)","","","",""
"PT Ayopop Teknologi Indonesia","","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","24/50/DKSP/Srt/B","02/21/2022","AyoSaldo","Departemen Kebijakan Sistem Pembayaran","","Penatausahaan Sumber Dana","Account Issuance Services","","Berizin (Belum Beroperasinal)","","","",""
"PT Inacash Lentera Teknologi","","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","24/29/DKSP/Srt/B","02/04/2022","Inacash","Departemen Kebijakan Sistem Pembayaran","","Penatausahaan Sumber Dana","Payment Initiation and/or Acquiring Services","","Berizin (Belum Beroperasinal)","","","",""
"PT BPR Palu Lokadana Utama","","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","24/30/DKSP/Srt/B","02/04/2022","","Departemen Kebijakan Sistem Pembayaran","","Penatausahaan Sumber Dana","Payment Initiation and/or Acquiring Services","","Berizin (Belum Beroperasinal)","","","",""
"PT Reksa Transaksi Sukses Makmur","Jl. Profesor Doktor Soepomo SH No.2 Unit 102 Menteng Dalam, Tebet Jakarta Selatan 12870","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","24/26/DKSP/Srt/B","02/03/2022","Ottopay","Departemen Kebijakan Sistem Pembayaran","","Payment Initiation dan/atau Acquiring Services","Payment Initiation and/or Acquiring Services","","Berizin (Belum Beroperasinal)","","","",""
"Lembaga Sertifikasi Profesi Perbankan (LSPP)","Menara IBI (Ikatan Bankir Indonesia), Jl. RS. Fatmawati No.2-4, Gandaria Selatan, Cilandak, Jakarta Selatan 12430","","Lembaga Sertifikasi Profesi","Professional Certification Institute","24/45/DPSP/Srt/B","02/02/2022","","Jakarta","","Jejang Kualifikasi SPPUR 5 dan 6 untuk program PBK SPPUR 1,2,3,5,6,7","","","Berizin (Telah Operasional)","","","",""
"PD BPR Bank Jogja","Jl. Patangpuluhan No.1 Yogyakarta 55251","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","24/19/DKSP/Srt/B","01/28/2022","","Departemen Kebijakan Sistem Pembayaran","03/30/2022","Penatausahaan Sumber Dana","Payment Initiation and/or Acquiring Services","","Berizin (Telah Operasional)","","","",""
"PT GDC Multi Sarana","Raya Keputran No. 59 Kel. Keputran Kec. Tegalsari Surabaya","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","24/18/DKSP/Srt/B","01/28/2022","GDCpay","Departemen Kebijakan Sistem Pembayaran","04/01/2022","Penatausahaan Sumber Dana","Payment Initiation and/or Acquiring Services","","Berizin (Telah Operasional)","","","",""
"PT Payquest Network Indonesia ","Jl. Raya Tukdana No.25 Kecamatan Tukdana, Kabupaten Indramayu","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","22/320/JKT/B/21-001","01/25/2022","","KPwBI Provinsi DKI Jakarta","","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","320.21-001/Jkt","",""
"PT Paramas Murni Jaya","P. Jayakarta Center Blok D1 No. 5-6, Jl, Pangeran Jayakarta No. 3, Kel. Mangga Dua Selatan, Kec. Sawah Besar, Jakarta Pusat 10730","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","22/321/Jkt/B/22-001","01/25/2022","","KPwBI Provinsi DKI Jakarta","03/17/2022","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","","",""
"PT Trimitra Valasindo Persada","Summarecon Mall Serpong 2 Unit BA-07, Gading Serpong, Kel. Pakulonan, Kec. Kelapa Dua, Kab. Tangerang","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","24/01/KEP.GBI/Sr/2022","01/14/2022","","KPwBI Provinsi Banten","02/01/2022","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","1407.81-001/Sr","",""
"PT Alfathan Valutindo Sukses","Jalan Eka Rasmi Komplek Bumi Johor Sentosa B12","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","24/1/KEP.GBI/MDN/2022","01/10/2022","","KPwBI Provinsi Sumatera Utara","01/10/2022","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","1406.67-000/Mdn","",""
"PT Achilles Financial Systems","Generali Tower Lantai 23 Unit G, Gran Rubina Business Park, Jl. HR Rasuna Said, Kel. Karet Kuningan, Kec. Setiabudi, Jakarta Selatan","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","24/318/Jkt/B/19-001","01/06/2022","","KPwBI Provinsi DKI Jakarta","03/22/2022","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","","",""
"PT Dua Raja Valas","ITC Kuningan Lantai Dasar F4 Nomor 2/9, Jl. Prof. Dr. Satrio No. 18, Karet Kuningan, Setiabudi, Jakarta Selatan 12940","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","24/15/Jkt/Srt/B","01/06/2022","","KPwBI Provinsi DKI Jakarta","01/24/2022","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","1408.38-001/Jkt","",""
"PT Silot Technology Indonesia","The Plaza Office Tower Lt. 7 Kav. 28-30, Jakarta Pusat","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","22/233/Jkt/B/23-001","01/06/2022","","KPwBI Provinsi DKI Jakarta","03/09/2022","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","","",""
"PT UnionPay Indonesia","The Plaza Office Tower Lt.45, Jl. MH. Thamrin No. 28 - 30, Jakarta 10310","","Penyelenggara Infrastruktur Sistem Pembayaran","Payment System Infrastructure Provider","23/12/KEP.DpG/2021","12/24/2021","","Departemen Kebijakan Sistem Pembayaran","12/24/2021","Penyelenggara Kliring, Penyelenggara Penyelesaian Akhir Kartu Debit, Kartu Kredit","Debit Card, Credit Card Clearing and Settlement","","Berizin (Telah Operasional)","","","",""
"PT Mastercard Indonesia","Sentral Senayan 1, 17th Floor, Unit 117E, Jl. Asia Afrika No. 8, Jakarta Pusat 10270","","Penyelenggara Infrastruktur Sistem Pembayaran","Payment System Infrastructure Provider","23/9/KEP.DpG/2021","12/24/2021","","Departemen Kebijakan Sistem Pembayaran","12/24/2021","Penyelenggara Kliring, Penyelenggara Penyelesaian Akhir Kartu ATM, Kartu Debit, Kartu Kredit","ATM Card, Debit Card, Credit Card Clearing and Settlement","","Berizin (Telah Operasional)","","","",""
"PT Visa Worlwide Indonesia","Wisma 46 – Kota BNI, 16th Floor, Jl. Jend Sudirman Kav. 1, Jakarta Pusat 10220","","Penyelenggara Infrastruktur Sistem Pembayaran","Payment System Infrastructure Provider","23/10/KEP.DpG/2021","12/24/2021","","Departemen Kebijakan Sistem Pembayaran","12/24/2021","Penyelenggara Kliring, Penyelenggara Penyelesaian Akhir Kartu ATM, Kartu Debit, Kartu Kredit","ATM Card, Debit Card, Credit Card Clearing and Settlement","","Berizin (Telah Operasional)","","","",""
"PT JCB International Indonesia","World Trade Center 2 Lantai 18, Jalan Jenderal Sudirman Kav. 29, Jakarta Selatan","","Penyelenggara Infrastruktur Sistem Pembayaran","Payment System Infrastructure Provider","23/8/KEP.DpG/2021","12/24/2021","","Departemen Kebijakan Sistem Pembayaran","12/24/2021","Penyelenggara Kliring, Penyelenggara Penyelesaian Akhir Kartu ATM, Kartu Debit, Kartu Kredit","ATM Card, Debit Card, Credit Card Clearing and Settlement","","Berizin (Telah Operasional)","","","",""
"PT American Express Indonesia","The Plaza Office Tower Level 28 D, Jl. M.H. Thamrin Kav. 28-30, Jakarta Pusat 10350","","Penyelenggara Infrastruktur Sistem Pembayaran","Payment System Infrastructure Provider","23/11/KEP.DpG/2021","12/24/2021","","Departemen Kebijakan Sistem Pembayaran","12/24/2021","Penyelenggara Kliring, Penyelenggara Penyelesaian Akhir Kartu Kredit","Credit Card Clearing and Settlement","","Berizin (Telah Operasional)","","","",""
"PT Indivara Sejahtera Sukses Makmur","Kirana Boutique Office Blok G 3 No.1-2 Jl. Kirana Avenue, Kelapa Gading Jakarta 14240","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","23/1018/DKSP/Srt/B","12/22/2021","Wallet of Indivara (Wol)","Departemen Kebijakan Sistem Pembayaran","04/07/2022","Penatausahaan Sumber Dana","Payment Initiation and/or Acquiring Services","","Berizin (Telah Operasional)","","","",""
"PT Bank Raya Indonesia Tbk","Jl. Warung Jati Barat no.139, Kel.Kalibata, Kec.Pancoran, Jakarta Selatan, 12740","","QRIS","QRIS","23/1016/DKSP/Srt/B","12/21/2021","","Departemen Kebijakan Sistem Pembayaran","","Penyelenggara QRIS","QRIS Operators","","Berizin (Telah Operasional)","","","",""
"PT Bank NTB Syariah","Jl. Pejanggik 30, Mataram 83126","","QRIS","QRIS","23/1014/DKSP/Srt/B","12/17/2021","","Departemen Kebijakan Sistem Pembayaran","","Penyelenggara QRIS","QRIS Operators","","Berizin (Telah Operasional)","","","",""
"PT Bank Aladin Syariah","Millenium Centennial Center, Lt. 7, Jl. Jend. Sudirman Kav. 25, Jakarta Selatan 12920","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","23/1012/DKSP/Srt/B","12/15/2021","","Departemen Kebijakan Sistem Pembayaran","01/03/2022","Penatausahaan Sumber Dana","Account Issuance Services","","Berizin (Telah Operasional)","","","",""
"PT Chlara Alenxi Valasindo","Mall E-Center Lantai 3 No. III/G3/3A, Lippo Karawaci, Tangerang","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","23/23/KEP.GBI/Sr/2021","12/06/2021","","KPwBI Provinsi Banten","01/01/2022","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","1404.80-001/Sr","",""
"LPK Bank BTPN","Menara BTPN, Lt. 30. Jl. Dr. Ide Anak Agung Gde Agung Kav. 5.5-5.6 CBD Mega Kuningan, Kec. Setiabudi, Kel. Kuningan Timur, Jakarta Selatan","","Lembaga Pelatihan Kerja","Job Training Institute","23/248/DPSP-GESK/Srt/B","11/19/2021","","Jakarta","","Kategori PBK SPPUR Jenjang Kualifikasi SPPUR 4","Job Training Institute","","Berizin (Telah Operasional)","","","",""
"LPK Panin Learning Academy","Plaza Panin Bank Lt. 3, Palmerah, Palmerah, Jakarta Barat","","Lembaga Pelatihan Kerja","Job Training Institute","23/232/DPSP-GESK/Srt/B","11/03/2021","","Jakarta","","Kategori PBK SPPUR Jenjang Kualifikasi SPPUR 4","Job Training Institute","","Berizin (Telah Operasional)","","","",""
"PT Jatelindo Perkasa Abadi","Jl. Sunan Kalijaga No. 63 B, Melawai, Jakarta Selatan","(021) 7204923","QRIS","QRIS","23/994/DKSP/Srt/B","10/30/2021","Fello","Departemen Kebijakan Sistem Pembayaran","","Penyelenggara QRIS","QRIS Operators","","Berizin (Telah Operasional)","","","","https://www.fello.id/"
"PT Max Interactives Tecnologies","Menara Kuningan Lt. 30, Unit B-C","(021) 22652825","QRIS","QRIS","23/995/DKSP/Srt/B","10/30/2021","Zipay","Departemen Kebijakan Sistem Pembayaran","","Penyelenggara QRIS","QRIS Operators","","Berizin (Telah Operasional)","","","","https://zipay.id/"
"PT Bank Pembangunan Daerah Kalimantan Barat","Jl. Rahadi Osman No. 10 , PONTIANAK 78117","","QRIS","QRIS","23/956/DKSP/Srt/B","10/22/2021","","Departemen Kebijakan Sistem Pembayaran","","Penyelenggara QRIS","QRIS Operators","","Berizin (Telah Operasional)","","","",""
"PT Witami Tunai Mandiri","Gran Rubina Business Park, Generali Tower Lt. 19, Jl. HR Rasuna Said Kav. C-22, Jakarta Selatan, DKI Jakarta 12940","","QRIS","QRIS","23/950/DKSP/Srt/B","10/21/2021","Truemoney","Departemen Kebijakan Sistem Pembayaran","","Penyelenggara QRIS","QRIS Operators","","Berizin (Telah Operasional)","","","",""
"PT Bintang Utara Nusantara","Perum Bumi intan Asri A1, Sleman, Yogyakarta","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","23/312/Yk/B/4-001","10/19/2021","","KPwBI Provinsi DI Yogyakarta","","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","","",""
"PT Bank Pembangunan Daerah Kalimantan Timur dan Kalimantan Utara","Jl. Jend. Sudirman No. 33, SAMARINDA","","QRIS","QRIS","23/946/DKSP/Srt/B","10/18/2021","","Departemen Kebijakan Sistem Pembayaran","","Penyelenggara QRIS","QRIS Operators","","Berizin (Telah Operasional)","","","",""
"PT Eko Budiono Maju Mapan Valas Nusantara","Jl. Trunojoyo No. 34 RT 006 RW 002, Pakelan, Kota Kediri","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","23/4/KEP.GBI/Kd/2021","10/13/2021","","KPwBI Kediri","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","1395.38-001/Kd","",""
"PT Giat Bangun indonesia","Jalan Panglima Polim Raya No. 51, Kelurahan Melawai, Kecamatan Kebayoran Baru, Jakarta Selatan 12140","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","21/311/Jkt/B/17-001","10/12/2021","","KPwBI Provinsi DKI Jakarta","01/05/2022","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","","",""
"LPK Muamalat Institute","Jl. Tanjung Duren Raya No.7 ABC, Grogol, Petamburan, Jakarta Barat","","Lembaga Pelatihan Kerja","Job Training Institute","23/260/DPSP-GESK/Srt/B","10/12/2021","","Jakarta","","Kategori PBK SPPUR Jenjang Kualifikasi SPPUR 4","Job Training Institute","","Berizin (Telah Operasional)","","","",""
"PT Marazavalas","Jl. Muchtar Lutfi No. 9, Makassar","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","23/2/KEP.GBI/Mks/2021","10/06/2021","","KPwBI Provinsi Sulawesi Selatan","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0397.001/0002","",""
"PT Kirim Uang Indonesia","Ruko Cicurug Town Square Blok A No 11, Kel Benda, Cicurug, Jawa Barat","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","21/310/Bd/B/10-001","10/05/2021","","KPwBI Provinsi Jawa Barat","","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","310.10-001/Bd","",""
"PT Jalin Pembayaran Nusantara","Dea Tower 1 Lantai 7 Suite 702, Jl. Mega Kuningan Barat IX Kav. 4.3 No. 1, Kawasan Mega Kuningan RT/RW 0/0 Kel. Kuningan Timur, Kec. Setiabudi, Kota Administrasi Jakarta Selatan","","Penyelenggara Infrastruktur Sistem Pembayaran","Payment System Infrastructure Provider","23/5/KEP.DpG/2021","09/24/2021","","Departemen Kebijakan Sistem Pembayaran","09/24/2021","Penyelenggara Kliring, Penyelenggara Penyelesaian Akhir Kartu ATM, Kartu Debit","ATM Card, Debit Card Clearing and Settlement","","Berizin (Telah Operasional)","","","",""
"PT Digital Solusi Pratama ","Gedung Prima Sejahtera Lt 7, Jl. Jalur Sutera, Kav 5A, Pinang, Kota Tangerang 15144","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","21/309/Sr/B/5-000","09/24/2021","","KPwBI Provinsi Banten","","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","309.5-000/Sr","",""
"PT Alto Network","Satrio Tower Building Lt. 12, Jl. Prof. Dr. Satrio Blok 4C No. 5, Karet Kuningan, Jakarta 12950","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","23/900/DKSP/Srt/B","09/24/2021","","Departemen Kebijakan Sistem Pembayaran","09/24/2021","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","0002.001/0010","",""
"PT Alto Network","Satrio Tower Building Lt. 12, Jl. Prof. Dr. Satrio Blok 4C No. 5, Karet Kuningan, Jakarta 12950","","Penyelenggara Infrastruktur Sistem Pembayaran","Payment System Infrastructure Provider","23/3/KEP.DpG/2021","09/24/2021","","Departemen Kebijakan Sistem Pembayaran","09/24/2021","Penyelenggara Kliring, Penyelenggara Penyelesaian Akhir Kartu ATM, Kartu Debit","ATM Card, Debit Card Clearing and Settlement","","Berizin (Telah Operasional)","","","",""
"PT Artajasa Pembayaran Elektronis","Grha Artajasa, Jalan Letnan Sutopo Blok B.1 No. 3 Sektor Komersil III B, Lengkong Gudang Timur, Serpong, Kota Tangerang Selatan, Banten 15310","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","23/897/DKSP/Srt/B","09/24/2021","MYNT E-Money","Departemen Kebijakan Sistem Pembayaran","09/24/2021","Penatausahaan Sumber Dana, Payment Initiation dan/atau Acquiring Services, Layanan Remitansi","Account Issuance Services, Payment Initiation and/or Acquiring Services, Remittance Services","","Berizin (Telah Operasional)","","0001.001/0035","",""
"PT Artajasa Pembayaran Elektronis","Grha Artajasa, Jalan Letnan Sutopo Blok B.1 No. 3 Sektor Komersil III B, Lengkong Gudang Timur, Serpong, Kota Tangerang Selatan, Banten 15310","","Penyelenggara Infrastruktur Sistem Pembayaran","Payment System Infrastructure Provider","23/4/KEP.DpG/2021","09/24/2021","","Departemen Kebijakan Sistem Pembayaran","09/24/2021","Penyelenggara Kliring, Penyelenggara Penyelesaian Akhir Kartu ATM, Kartu Debit","ATM Card, Debit Card Clearing and Settlement","","Berizin (Telah Operasional)","","","",""
"PT Rintis Sejahtera","International Finance Centre, 10th Floor, Jl. Jend. Sudirman Kav. 22-23, Jakarta 12920","","Penyelenggara Infrastruktur Sistem Pembayaran","Payment System Infrastructure Provider","23/6/KEP.DpG/2021","09/24/2021","","Departemen Kebijakan Sistem Pembayaran","09/24/2021","Penyelenggara Kliring, Penyelenggara Penyelesaian Akhir Kartu ATM, Kartu Debit, Kartu Kredit","ATM Card, Debit Card, Credit Card Clearing and Settlement","","Berizin (Telah Operasional)","","","",""
"PT Capital Net Indonesia","Menara Jamsostek Lt. 5 Jl. Gatot Subroto No. 38 Jakarta Selatan","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","23/855/DKSP/Srt/B","09/15/2021","Virgo","Departemen Kebijakan Sistem Pembayaran","09/15/2021","Penatausahaan Sumber Dana","Account Issuance Services","","Berizin (Telah Operasional)","","","",""
"PT Mareco Prima Mandiri","Satrio Tower Building Lt. 14 Unit 2B, Jl. Prof. Dr. Satrio Kav. C4 Mega Kuningan, Jakarta","(021) 2527003","QRIS","QRIS","23/848/DKSP/Srt/B","09/06/2021","Dipay","Departemen Kebijakan Sistem Pembayaran","","Penyelenggara QRIS","QRIS Operators","","Berizin (Telah Operasional)","","","cs@dipay.id",""
"Maybank Academy","Wisma Kodel Lt. 3 & 5, Jl. H.R. Rasuna Said Kav B4, Kuningan Timur, Setiabudi, Jakarta Selatan 12910","021 - 5221533","Lembaga Pelatihan Kerja","Job Training Institute","23/84/DPSP/Srt/B","07/09/2021","","Jakarta","","Kategori PBK SPPUR Jenjang Kualifikasi SPPUR 4","Job Training Institute","","Berizin (Telah Operasional)","","","",""
"Bank SBI Indonesia (Eks Bank Indomonex)","Graha Mandiri Lt.1, Jl. Imam Bonjol No. 1, Jakarta 10310","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","23/629/DKSP/Srt/B","07/01/2021","","Departemen Kebijakan Sistem Pembayaran","07/01/2021","Penatausahaan Sumber Dana","Account Issuance Services","","Berizin (Telah Operasional)","","","",""
"Citibank N.A","Citibank Tower Lt. 8-11, Pacific Century Place SCBD Lot 10, Jl. Jend. Sudirman No. 52-53 Jakarta 12190","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","23/598/DKSP/Srt/B","07/01/2021","","Departemen Kebijakan Sistem Pembayaran","07/01/2021","Penatausahaan Sumber Dana, Payment Initiation dan/atau Acquiring Services","Account Issuance Services, Payment Initiation and/or Acquiring Services","","Berizin (Telah Operasional)","","","",""
"MUFG Bank, Ltd (d/h PT Bank of Tokyo Mitsubishi UFJ)","Mid Plaza Building 1-3 F, Jl. Jend. Sudirman Kav. 10-11, Jakarta 10220","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","23/599/DKSP/Srt/B","07/01/2021","","Departemen Kebijakan Sistem Pembayaran","07/01/2021","Penatausahaan Sumber Dana","Account Issuance Services","","Berizin (Telah Operasional)","","","",""
"PT Akasanet Bumi Nusantara","Gedung Treasury Tower Lt.29, Distric 8, Kawasan SCBD Lot 28 Jl. Jend. Sudirman Kav.52-53 JAKARTA SELATAN 12190","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","23/558/DKSP/Srt/B","07/01/2021","Yodu","Departemen Kebijakan Sistem Pembayaran","07/01/2021","Penatausahaan Sumber Dana","Account Issuance Services","","Berizin (Telah Operasional)","","","",""
"PT AEON Credit Services","Plaza Kuningan, Menara Selatan Lt. 3A, Jl. HR. Rasuna Said, Kav. C11-14, Setiabudi, Jakarta 12920","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","23/555/DKSP/Srt/B","07/01/2021","","Departemen Kebijakan Sistem Pembayaran","07/01/2021","Penatausahaan Sumber Dana","Account Issuance Services","","Berizin (Telah Operasional)","","","",""
"PT Aino Indonesia","UGM Samator Pendidikan Building, Tower B 10th Floor, Jalan Prof. Dr. Sardjito No. 25 Yogyakarta 55223","","Penyedia Jasa Pembayaran - Kategori Izin 2","Payment Service Provider - License Category 2","23/556/DKSP/Srt/B","07/01/2021","Aino","Departemen Kebijakan Sistem Pembayaran","07/01/2021","Payment Initiation dan/atau Acquiring Services","Payment Initiation and/or Acquiring Services","","Berizin (Telah Operasional)","","","",""
"PT Airpay International Indonesia","Pacific Century Place 28, Jl. Jendral Sudirman Kav. 52 – 53, RT/RW. 05/03, Senayan, Kebayoran Baru, Jakarta Selatan 12190","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","23/557/DKSP/Srt/B","07/01/2021","SHOPEEPAY","Departemen Kebijakan Sistem Pembayaran","07/01/2021","Penatausahaan Sumber Dana, Layanan Remitansi","Account Issuance Services, Remittance Services","","Berizin (Telah Operasional)","","","",""
