KodePelabuhan,NamaPelabuhan,LokasiPelabuhan,UnitKerja,AlamatKantor
AAT,Adaut,MALUKU TENGGARA BARAT,KUPP KELAS II SAUMLAKI,Jl.Pelabuhan Saumlaki Kec. Tanibar Selatan Kab. Saumlaki Maluku 97762
AAU,Atapupu,BELU,KUPP KELAS II ATAPUPU,Jl. Pelabuhan No. 1 Atapupu Nusa Tenggara Timur
ABA,Air Buaya,BURU,KUPP KELAS II NAMLEA,Jl.Dermaga Pelabuhan Namlea Kabupaten Buru Maluku 97571
ABL,Ambalau,BURU SELATAN,KUPP KELAS III NAMROLE,Jl. Komp. Pelabuhan Leksula; Kec. Leksula Kab. Buru Selatan - Ambon Maluku 97573
ABS,Air Bangis,PASAMAN BARAT,KSOP KELAS II TELUK BAYUR,Jl. Tanjung Priok No. 4 Teluk Bayur Sumatera Barat 25217
AEA,Probolinggo,PROBOLINGGO,KSOP KELAS IV PROBOLINGGO,-
AGS,Agats,ASMAT,KUPP KELAS III AGATS,Jl. Pelabuhan Baru No. 1 Agats Kab. Asmat Papua
AGU,Awerange/Barru,LUWU TIMUR,UPP KELAS III AWARENGE/BARRU,Jl. Pelabuhan No.57 Awarenge Kab. Barru Sulawesi Selatan 90752
AHI,Amahai,MALUKU TENGAH,UPP KELAS III AMAHAI,Jl. Christina Martha Tiahahu Komp. Pelabuhan Amahai Maluku 97511
ALO,Anyer Lor,SERANG,KUPP KELAS III ANYER LOR,SERANG
AMA,Amamapare,MIMIKA,KUPP KELAS II AMAMAPARE,Komp. Pelabuhan Amamapare Timika Papua 99900
AMP,Ampenan,LOMBOK BARAT,KUPP KELAS III PAMENANG/TANJUNG,LOMBOK BARAT
AMQ,Ambon,KOTA AMBON,KSOP KELAS I AMBON,Jl.Yos Komp.Pelabuhan Ambon Maluku 97126
ANS,Ansus,KEPULAUAN YAPEN,KUPP KELAS II SERUI,Jl. Moh. Hatta No. 2 Serui Papua 98201
APN,Ampana,TOJO UNA-UNA,KUPP KELAS III AMPANA,Jl. Yos Sudarso No. 25 Ampana Sulteng 94683
APU,Pasapuat,KEPULAUAN MENTAWAI,KUPP KELAS III SIKAKAP,MENTAWAI
ARE,Pare-Pare,KOTA PARE-PARE,KSOP KELAS III PARE-PARE,Jl.Tarakan; Komplek Pelabuhan Cappa Ujung Parepare Sulawesi Selatan 91112
ASG,Arwala / Sutilarang,MALUKU BARAT DAYA,UPP KELAS III WONRELI,Jl. Pelabuhan Wonreli Maluku 97653
ASI,Asiki,BOVEN DIGUL,KSOP KELAS IV MERAUKE,Jl. Sabang No. 312 Merauke - Papua 99613
ASM,Mangga Dua,KOTA TERNATE,KSOP KELAS II TERNATE,Jl. Jend. Ahmad Yani Kompleks Pelabuhan Ahmad Yani Ternate Maluku Utara 97724
ASO,Pasokan,TOJO UNA-UNA,KUPP KELAS III AMPANA,Jl. Yos Sudarso No. 25 Ampana Sulteng 94683
ATY,Atsy,ASMAT,KUPP KELAS III AGATS,Jl. Pelabuhan Baru No. 1 Agats Kab. Asmat Papua
AUG,Amurang,MINAHASA SELATAN,UPP KELAS III LIKUPANG,Jl. Raya Manado Likupang Sulawesi Utara 95375
AYU,Pasangkayu,MAMUJU UTARA,KUPP KELAS III BELANG-BELANG,Jl. Pelabuhan Sumatera No. 3 Belang-belang Sulbar 91561
BAA,Baranusa,ALOR,KUPP KELAS III BARANUSA,Jl.Komp. Pelabuhan Baranusa Nusa Tenggara Timur
BAD,Badas,SUMBAWA,KSOP KELAS IV BADAS,Jl. Raya Pelabuhan Badas Sumbawa Besar Nusa Tenggara Barat 84351
BAE,Bajoe,BONE,KUPP KELAS II BAJOE,Jl. Pelabuhan No.21 Bajoe Kab. Bone Sulsel 92781 Telp. 0481-21436; Fax. 0481-2911962 upp.bajoe@dephub.go.id
BAG,Baing,SUMBA TIMUR,KSOP KELAS IV WAINGAPU,Jl. Nangamesi No. 11 Waingapu Nusa Tenggara Timur 87110
BAT,Bataka,HALMAHERA BARAT,KUPP KELAS III JAILOLO,Jl. Pelabuhan jailolo Kab. Halmahera Barat; Maluku Utara 97752
BBE,Bulukumba/Lappe'e,BULUKUMBA,KUPP KELAS II BULUKUMBA,Jl. Pelabuhan Leppe'e No. 1 Bulu Kumba Sulsel 92511
BBG,Babang,HALMAHERA SELATAN,KUPP KELAS II LABUHA/BABANG,Jl.Pelabuhan No. 25 Desa Babang Kec. Bacan Timur 97791
BBI,Banabungi Pasarwajo,BUTON,KUPP KELAS I BAU-BAU,Jl. Yos Sudarso No. 5 Kel. Wale Kec. Wolio Kota Baubau Provinsi Sultra 93711
BBM,Bau-Bau/Murhum,KOTA BAU-BAU,KUPP KELAS I BAU-BAU,Jl. Yos Sudarso No. 5 Kel. Wale Kec. Wolio Kota Baubau Provinsi Sultra 93711
BBN,Bumbulan,POHUWATO,UPP KELAS III TILAMUTA,Jl. Pelabuhan No. 106 Kec. Tilamuta Kab. Boalemo Gorontalo 96263
BBU,Biu,SABU RAIJUA,KUPP KELAS III SEBA,Jl. Pelabuhan No. 01 Kec.Sabu Barat Kab.Seburaijua Seba Nusa Tenggara Timur
BCI,Bicoli,HALMAHERA TIMUR,KUPP KELAS III BULI,Jl;. Pelabuhan Buli Kec. Maba Kab. Halmahera Malut
BDG,Budong-Budong,MAMUJU,KUPP KELAS III BELANG-BELANG,Jl. Pelabuhan Sumatera No. 3 Belang-belang Sulbar 91561
BDJ,Banjarmasin,KOTA BANJARMASIN,KSOP KELAS I BANJARMASIN,Jl. Duyung Raya Komp. Lumba-lumba No. 45 Banjarmasin Kalimantan Selatan 70119
BEE,Bere - Bere,PULAU MOROTAI,KUPP KELAS III DARUBA,Jl. Komp. Pelabuhan Imam Lastori Kab. Pulau Morotai Prov. Malut 97771
BEL,Belang-Belang,MAMUJU,KUPP KELAS III BELANG-BELANG,Jl. Pelabuhan Sumatera No. 3 Belang-belang Sulbar 91561
BEN,Benete,SUMBAWA BARAT,KUPP KELAS II BENETE,Jl. Pelabuhan Benete Kec.Maluku Kab. Sumbawa Barat Nusa Tenggara Barat 84357
BEO,Beo,KEPULAUAN TALAUD,KUPP KELAS III MELONGUANE,Jl Komp. Pelabuhan Lirung Kec. Lirung Kab. Talaud; Lirung Sulawesi Utara 95871
BGA,Bojonegara,SERANG,KUPP KELAS III BOJONEGARA,SERANG
BGG,Banggai,BANGGAI KEPULAUAN,KUPP KELAS II BANGGAI,Jl. Komp. Pelabuhan Banggai Kab. Banggai Kepulauan Sulteng 94791
BGN,Bantaeng,JENEPONTO,KUPP KELAS III JENEPONTO,Jl. Dermaga Desa Bungeng Kec. Batang Kab. Jeneponto Sulsel 92361
BHS,Buhias,SITARO,KUPP KELAS III ULU SIAU,Jl. Komp. Pelabuhan Ulu Siau Kel. Tatahadeng Kec. Siau Timur Kep. Tagulandang; Biaro Sultra 95861
BIG,Bastiong,KOTA TERNATE,KSOP KELAS II TERNATE,Jl. Jend. Ahmad Yani Kompleks Pelabuhan Ahmad Yani Ternate Maluku Utara 97724
BIK,Biak,BIAK NUMFOR,KSOP KELAS III BIAK,Jl.Jendral Sudirman No. 53 Biak Papua 98115
BIT,Bitung,KOTA BITUNG,KSOP KELAS II BITUNG,Jl. Ir. Soekarno No. 4 Bitung Sulawesi Utara 95225
BJU,Tanjung Wangi,BANYUWANGI,KSOP MENENG/TANJUNG WANGI,-
BKE,Bukide,KEPULAUAN SANGIHE,KUPP KELAS II TAHUNA,Jl.Pelabuhan Tahuna No.1 Kab .Kepl.Sangihe Tahuna Sulawesi Utara 95851
BKI,Bengkalis,BENGKALIS,KSOP KELAS IV BENGKALIS,Jl. A. Yani No. 5 Rt. 01/Rw. 01 Bengkalis - Riau 28712
BKS,Pulau Baai,BENGKULU,KSOP KELAS III PULAU BAAI,Jl. Ir. Rustandi Sugianto Pulau Baai Bengkulu 38216
BLA,Bula,SERAM BAGIAN TIMUR,KUPP KELAS III BULA,Jl. Pelabuhan Teluk Hatiling Wahai Maluku 97557
BLG,Belang,MINAHASA TENGGARA,UPP KELAS III LIKUPANG,Jl. Raya Manado Likupang Sulawesi Utara 95375
BLT,Manggar,BELITUNG TIMUR,KUPP KELAS III MANGGAR,Jl. Jend. Sudirman No. 74 Rt.27
BLU,Belinyu,BANGKA,KSOP KELAS IV PANGKAL BALAM,-
BLW,Belawan,KOTA MEDAN,OP UTAMA BELAWAN,JL. Suar No. 1 Pelabuhan Belawan Medan; Sumut - 20411
BLY,Buli,HALMAHERA TIMUR,KUPP KELAS III BULI,Jl;. Pelabuhan Buli Kec. Maba Kab. Halmahera Malut
BMU,Bima,BIMA,KSOP KELAS IV BIMA,Jl. Martadinata No. 1 Bima - Nusa Tenggara Barat 84114
BNA,Benjina,KEPULAUAN ARU,KUPP KELAS II DOBO,Jl.Pelabuhan No. 3 Dobo Maluku 97662
BNO,Banemo,HALMAHERA TENGAH,KUPP KELAS III PULAU GEBE/WEDA,Jl. Pulau Fao Kec. Pilau Gebe Kab. Halmahera Tengah Komp. Pelabuhan Gebe; Malut
BNQ,Brondong,LAMONGAN,UPP KELAS III BRONDONG,Jl. Pelabuhan No. 1 Sedayulawas Kec. Brondong Lamongan; Jawa Timur - 662814
BNU,Bungku,MOROWALI,UPP KELAS III KOLONEDALE,Jl. Pelabuhan No. 1 Kolonedale Sulteng 94671
BOA,Benoa,KOTA DENPASAR,KSOP KELAS II BENOA,Jl. Raya Pelabuhan Benoa; Denpasar Bali 80223
BOK,Binongko,KOTA BAU-BAU,KUPP KELAS I BAU-BAU,Jl. Yos Sudarso No. 5 Kel. Wale Kec. Wolio Kota Baubau Provinsi Sultra 93711
BOR,Bonerate,LUWU UTARA,KUPP KELAS III JAMPEA,Jl. Pelabuhan No. 1 Benteng Jampea Sulsel
BPA,Batu Panjang,BENGKALIS,KUPP KELAS III BATU PANJANG,BENGKALIS
BPN,Balikpapan,KOTA BALIKPAPAN,KSOP KELAS I BALIKPAPAN,Jl. Yos Sudarso No. 1 Balikpapan Kalimantan Timur 76111
BRE,Brebes,BREBES,KUPP KELAS III BREBES,BREBES
BRG,Balauring,LEMBATA,KUPP KELAS II LARANTUKA,Flores Timus-Nusa Tenggara Timur
BRO,Baa,ROTENDAO,KUPP KELAS III BAA,Jl. Pelabuhan No. 1 Ba'a - Rote NTT
BRS,Barus,TAPANULI TENGAH,KUPP KELAS III BARUS,Jl. Yos Sudarso No. 02 Kel. Pasar Batu Grigis Barus; Kab. Tapanuli Tengah Sumatera Utara 22564
BSI,Bisui,HALMAHERA SELATAN,KUPP KELAS II LABUHA/BABANG,Jl.Pelabuhan No. 25 Desa Babang Kec. Bacan Timur 97791
BSO,Biringkasi,PANGKAJENE KEPULAUAN,KUPP KELAS II MACCINI BAJI,Jl. Pelabuhan BiringKasie Pengkeb Sulsel 90651
BTA,Batutua,ROTENDAO,KUPP KELAS III BAA,Jl. Pelabuhan No. 1 Ba'a - Rote NTT
BTG,Batang,BATANG,KUPP KELAS III BATANG,BATANG
BTS,Batu Atas,BUTON,KUPP KELAS I BAU-BAU,Jl. Yos Sudarso No. 5 Kel. Wale Kec. Wolio Kota Baubau Provinsi Sultra 93711
BTU,Binanatu,SUMBA BARAT,KUPP KELAS III WAIKELO,Jl. Waikelo Kec. Luara Kab. Sumba Barat Waikelo; Nusa Tenggara Timur - 87254
BUB,Baturube,MOROWALI,UPP KELAS III KOLONEDALE,Jl. Pelabuhan No. 1 Kolonedale Sulteng 94671
BUD,Bunta,BANGGAI,KUPP KELAS III BUNTA,Jl. RA. Kartini No. 42 Bunta Sulteng 94753
BUG,Sangsit,BULELENG,KUPP KELAS III BULELENG,Jl. Pabean Sangsit Singaraja Buleleng; Bali - 81171
BUH,Batu Merah,KOTA AMBON,KSOP KELAS I AMBON,Jl.Yos Komp.Pelabuhan Ambon Maluku 97126
BUM,Batu Enam,ROKAN HILIR,KUPP KELAS III SINABOI,BENGKALIS
BUR,Batam/Batu Ampar,KOTA BATAM,KSOP KELAS III BATAM (KANPEL BATAM),Batam
BUS,Busua,HALMAHERA SELATAN,KUPP KELAS II LABUHA/BABANG,Jl.Pelabuhan No. 25 Desa Babang Kec. Bacan Timur 97791
BUT,Tanjung Buton,SIAK,KSOP KELAS III SUNGAI PAKNING,bengkalis
BWB,Banyu Wangi/ Boom,BANYUWANGI,KUPP KELAS III KETAPANG,Jl. Jend. Gatot Subroto No. 2 Komplek Pelabuhan LCM Ketapang Banyuwangi Jawa Timur - 68401
BWN,Bawean,GRESIK,KUPP KELAS III SANGKAPURA/BAWEAN,Jl Beringinan No. 1 Sangka Pura Jawa Timur 61181
BXD,Bade,MAPPI,KUPP KELAS III BADE,Jl. Pelita No. 32 Distrik Edera; Bade Kab. Mappi-Papua 99653
BYG,Batu Goyang,KEPULAUAN ARU,KUPP KELAS II DOBO,Jl.Pelabuhan No. 3 Dobo Maluku 97662
BYK,Pulau Banyak,ACEH SINGKIL,KUPP KELAS III SINGKIL,Jl. Utama No. 20 Pulo Sarok Singkil; Kab. Aceh Singkil 24785
BYN,Bayun,ASMAT,KUPP KELAS III AGATS,Jl. Pelabuhan Baru No. 1 Agats Kab. Asmat Papua
BYQ,Bunyu,,KUPP KELAS III PULAU BUNYU,Jl. Dermaga No. 2 Pulau Bunyu Kec. Bunyu Kab. Bulungan; Kalimantan Utara 77181
CBN,Cirebon,CIREBON,KSOP KELAS II CIREBON,Jl. Donggala No. 3 Cirebon Jawa Barat 45112
CEB,Celukan Bawang,BULELENG,KSOP KELAS IV CELUKAN BAWANG,Jl. Pelabuhan No. 36 Celukan Bawang Bali 81155
CLG,Calang,ACEH JAYA,KUPP KELAS III CALANG,Jl. Pelabuhan No. 9 Calang Kab Aceh Java Nanggroe Aceh Darussalam 23654 Telp.0654-2210219; Fax. 0654-7000890 Email : upp.calang@gmail.com / uppcalang@dephub.go.id
CLI,Calabai,DOMPU,KUPP KELAS III CALABAI,Jl. Raya Pelabuhan Calabahi; Kab. Dompu PO.BOX. 123 Dompu Nusa Tenggara Barat 84200
CON,Carocok Painan,PESISIR SELATAN,KSOP KELAS II TELUK BAYUR,Jl. Tanjung Priok No. 4 Teluk Bayur Sumatera Barat 25217
CRI,Carik,LOMBOK UTARA,KUPP KELAS II PEMENANG/ TANJUNG,Jl. Pariwisata Gili Indah Pemenang Kab. Lombok Utara; Pemenang NTB 83352
CTS,Cituis,TANGERANG,KUPP KELAS III KARANGANTU,SERANG
CXP,Cilacap,CILACAP,KSOP KELAS II CILACAP,Jl. Niaga No. 9 Cilacap Jawa Tengah 53213
DAA,Dama,HALMAHERA UTARA,KUPP KELAS I TOBELO,Jl. Pelabuhan No.1 Tobelo Kab. Halmahera Utara Prov. Maluku Utara
DAI,Dawai,KEPULAUAN YAPEN,KUPP KELAS II SERUI,Jl. Moh. Hatta No. 2 Serui Papua 98201
DAN,Sukadana,KOTA SINGKAWANG,KUPP KELAS III TELUK MELANO,Jl. Gusti Aplos No. 93 Rt.8/Rw;III Kalbar 78853
DAR,Dawera/Dawelor,MALUKU BARAT DAYA,KUPP KELAS II SAUMLAKI,Jl.Pelabuhan Saumlaki Kec. Tanibar Selatan Kab. Saumlaki Maluku 97762
DAS,Dabo Singkep,LINGGA,KUPP KELAS III DABO SINGKEP,DABO SINGKEP - KEPULAUAN RIAU
DJJ,Jayapura,JAYAPURA,KSOP KELAS II JAYAPURA,JL.Koti No;9 Jayapura 99221
DMK,Dompak,KOTA TANJUNG PINANG,KSOP KELAS II TANJUNG PINANG,Jl. SM. Amin No. 18 Kota Tanjung Pinang Kepulauan Riau 29111 Telp/Fax. 0771-21014 ksoptanjungpinang@dephub.go.id
DMR,Damar,MALUKU BARAT DAYA,KUPP KELAS II SAUMLAKI,Jl.Pelabuhan Saumlaki Kec. Tanibar Selatan Kab. Saumlaki Maluku 97762
DNA,Teluk Palu,DONGGALA,KSOP KELAS II TELUK PALUXXXXX,Jl. Mutiara No.4 Donggala
DOB,Dobo,KEPULAUAN ARU,KUPP KELAS II DOBO,Jl.Pelabuhan No. 3 Dobo Maluku 97662
DOF,Dofa,KEPULAUAN SULA,KUPP KELAS II SANANA,Jl.Komplek Pelabuhan Sanana Maluku Utara 97795
DOU,Dorosagu,HALMAHERA TIMUR,KUPP KELAS III BULI,Jl;. Pelabuhan Buli Kec. Maba Kab. Halmahera Malut
DPE,Depapre,JAYAPURA,KSOP KELAS II JAYAPURA,JL.Koti No;9 Jayapura 99221
DPN,Dapalan,KEPULAUAN TALAUD,KUPP KELAS III MELONGUANE,Jl Komp. Pelabuhan Lirung Kec. Lirung Kab. Talaud; Lirung Sulawesi Utara 95871
DRA,Daruba,PULAU MOROTAI,KUPP KELAS III DARUBA,Jl. Komp. Pelabuhan Imam Lastori Kab. Pulau Morotai Prov. Malut 97771
DRE,Darume,HALMAHERA UTARA,KUPP KELAS I TOBELO,Jl. Pelabuhan No.1 Tobelo Kab. Halmahera Utara Prov. Maluku Utara
DUM,Dumai,KOTA DUMAI,KSOP KELAS I DUMAI,Jl. Yos Sudarso No. 9 Dumai Riau 28814
DWD,Dawi-dawi,KOLAKA,KUPP KELAS III POMALAA,Jl.Protokol No1 Pomala; Kab. Kolaka Prov. Sulawesi Tenggara 93562 (0405) 310241
EEI,Eci,MAPPI,KUPP KELAS III BADE,Jl. Pelita No. 32 Distrik Edera; Bade Kab. Mappi-Papua 99653
EGU,Segun,SORONG SELATAN,KUPP KELAS III TAMINABUAN,Jl. Pelabuhan Teminibuan Kab. Sorang Selatan Papua Barat
ELT,Elat,MALUKU TENGGARA,KUPP KELAS II TUAL,Jl.Pidnang Armau No1 Komp.Pelabuhan Tual Maluku 97613
ENE,Ende,ENDE,KSOP KELAS IV ENDE,Jl. Adi Sucipto Ippi Ende NTT 86316
ENO,Kuala Enok,INDRAGIRI HILIR,KSOP KELAS IV KUALA ENOK,riau
ERE,Ereke,BUTON UTARA,KUPP KELAS II RAHA,Jl. Pelabuhan No. 1 Raha Sulawesi Tenggara 93611
ERY,Eray,MALUKU BARAT DAYA,UPP KELAS III WONRELI,Jl. Pelabuhan Wonreli Maluku 97653
ESG,Essang,KEPULAUAN TALAUD,KUPP KELAS III MELONGUANE,Jl Komp. Pelabuhan Lirung Kec. Lirung Kab. Talaud; Lirung Sulawesi Utara 95871
FAI,Fani,RAJA AMPAT,KUPP KELAS II RAJA AMPAT,Jl. Trikora No. 19 Saonek Kab. Raja Ampat Prov. Papua Barat
FKQ,Fak-fak,FAKFAK,KSOP KELAS V FAK-FAK,Jl.Izak Telussa No.1 Fak Fak Papua Barat 98611
FOI,Fogi,BURU SELATAN,KUPP KELAS III NAMROLE,Jl. Komp. Pelabuhan Leksula; Kec. Leksula Kab. Buru Selatan - Ambon Maluku 97573
FTA,Falabisahaya,KEPULAUAN SULA,KUPP KELAS II SANANA,Jl.Komplek Pelabuhan Sanana Maluku Utara 97795
GEG,Giliketapang,PROBOLINGGO,KSOP KELAS IV PROBOLINGGO,-
GER,Geser,SERAM BAGIAN TIMUR,KUPP KELAS III GESER,Jl. Pelabuhan Geser; Seram Bagian Timur- Maluku 97594
GGR,Galesong,JENEPONTO,KUPP KELAS III JENEPONTO,Jl. Dermaga Desa Bungeng Kec. Batang Kab. Jeneponto Sulsel 92361
GIL,Gilimanuk,JEMBRANA,KUPP KELAS II GILIMANUK,Jl. Parkir Manauver No. 5 Gilimanuk Kab. Jembrana; Bali - 82253
GLX,Galela,HALMAHERA UTARA,KUPP KELAS I TOBELO,Jl. Pelabuhan No.1 Tobelo Kab. Halmahera Utara Prov. Maluku Utara
GMM,Manu/Gamumu,HALMAHERA SELATAN,KUPP KELAS II LABUHA/BABANG,Jl.Pelabuhan No. 25 Desa Babang Kec. Bacan Timur 97791
GMR,Gorom,SERAM BAGIAN TIMUR,UPP KELAS III AMAHAI,Jl. Christina Martha Tiahahu Komp. Pelabuhan Amahai Maluku 97511
GNG,Garongkong,BARRU,UPP KELAS III AWARENGE/BARRU,Jl. Pelabuhan No.57 Awarenge Kab. Barru Sulawesi Selatan 90752
GNN,Glimandangin,SAMPANG,UPP KELAS II BRANTA,Jl. Pelabuhan Branta No. 1; Tlanakan Pamekasan - 69371
GNS,Gunung Sitoli,KOTA GUNUNGSITOLI,KSOP KELAS IV SITOLI,Jl. Yos Sudarso No. 194 Km. 2 Pelabuhan Angin Gunung Sitoli Sumatera Utara 22812
GRE,Gresik,GRESIK,KSOP KELAS II GRESIK,Jl. Yos Sudarso No. 36 Gresik Jawa Timur 61114
GRY,Talaga Raya,BUTON,KUPP KELAS I BAU-BAU,Jl. Yos Sudarso No. 5 Kel. Wale Kec. Wolio Kota Baubau Provinsi Sultra 93711
GTO,Gorontalo,GORONTALO,KSOP KELAS III GORONTALO,Jl.Manyor Dullah Kota Gorontalo .Gorontalo 96118
HUU,Hatu Piru,SERAM BAGIAN BARAT,KUPP KELAS III KAIRATU,Jl. Kompleks PT. IMJ; Waisarisa Maluku
IAU,amahaii,MALUKU TENGAH,UPP KELAS III AMAHAI,Jl. Christina Martha Tiahahu Komp. Pelabuhan Amahai Maluku 97511
IBG,Boipinang,KOLAKA,KUPP KELAS III POMALAA,Jl.Protokol No1 Pomala; Kab. Kolaka Prov. Sulawesi Tenggara 93562 (0405) 310241
IBI,Bagan siapi-api,ROKAN HILIR,KSOP KELAS IV BAGAN SIAPI-API,Jl. Syahbandar No. 4/B Bagan Siapiapi Telp. 0767-21264; Fax. 0767-23150 adpelbagansiapiapi@yahoo.com
IBJ,Bintuhan/Linau,KAUR,KUPP KELAS II LINAU/BINTUHAN,Jl. Pelabuhan Linau Bintuhan Kab. Kaur Bengkulu 38565
IBL,Buano,SERAM BAGIAN BARAT,KUPP KELAS III KAIRATU,Jl. Kompleks PT. IMJ; Waisarisa Maluku
IBM,Batanjung,KAPUAS,KSOP KELAS IV PULANG PISAU,Jl. Samudera No. 137 Rt. XIII Pulang Pisau Kalimantan Tengah 73561
IBP,Banten/Cigading,KOTA CILEGON,KSOP KELAS I BANTEN,Jl. Yos Sudarso No. 120 Merak Banten 42438
IBQ,Bemo,SERAM BAGIAN TIMUR,UPP KELAS III AMAHAI,Jl. Christina Martha Tiahahu Komp. Pelabuhan Amahai Maluku 97511
IBS,Biaro,KEPULAUAN SANGIHE,KUPP KELAS III ULU SIAU,Jl. Komp. Pelabuhan Ulu Siau Kel. Tatahadeng Kec. Siau Timur Kep. Tagulandang; Biaro Sultra 95861
IBX,Bagan Asahan,ASAHAN,KSOP KELAS IV TANJUNG BALAI ASAHAN,Jl. Pelabuhan Teluk Nibung 21351
IGY,Gudang Arang,KOTA AMBON,KSOP KELAS I AMBON,Jl.Yos Komp.Pelabuhan Ambon Maluku 97126
IIA,Indari,HALMAHERA SELATAN,KUPP KELAS II LABUHA/BABANG,Jl.Pelabuhan No. 25 Desa Babang Kec. Bacan Timur 97791
IIH,Bulaa,MALUKU TENGAH,KUPP KELAS III BULA,Jl. Pelabuhan Teluk Hatiling Wahai Maluku 97557
III,Idi,ACEH TIMUR,KUPP KELAS III IDI,Jl.Petua Husen Komp. Pelabuhan No.1 Kec Idie Rayeuk Kab Aceh Timur 24454
IKD,Kotabunan,BOLAANG MONGONDO,KUPP KELAS III KOTABUNAN,Jl. Komp. Pelabuhan Kotabaru Kec. Kotabunan Kab. Bomlang Kotabunan Sulut 95782
